,Adventist movement (Sunday observing),African traditional religions Ethnic,Ahl-i Hadith,Anglican,Armenian Apostolic Church,Baptist,Brotherhood of the Cross and Star,Buddhist,Byzantine Rite,Catholic,Chinese traditional religion,Church of Sweden,Confucianists,Cypriot Orthodox Church,Druze,Dutch Reformed Church,Eastern Orthodox,Ethiopian Orthodox Tewahedo Church,Ethnic religions excluding some in separate,Evangelical,Evangelical Church of the Augsburg Confession in,Evangelical Lutheran Church of Brazil,Evangelicalism,Free Church,Greek Byzantine Catholic Church,Hindu,Hoahaoism,Iglesia ni Cristo (Church of Christ),Islam,Jainism,Jehovah's Witnesses,Judaism,Maronite Church,Methodist,Mormons,Netherlands Reformed Churches,Orthodox,Orthodox Church of Greece,Orthodox Church of Ukraine,Other Christian,Other syncretists,Pentecostal and Charismatic,Presbyterianism,Protestant,Protestant Churches without free churches,Reformed Church in Romania,Roman Catholic; Latin Church;,Russian Orthodox Church,Serbian Orthodox Church,Seventh-day Adventist Church,Shia,Sikhism,Slovak Greek Catholic Church,Spiritism,Sunni,Taoism (Han Chinese),The African Church,United Evangelical Church in Nigeria,Vietnam Ancestral worshipping / Tradition,Vodou,Yiguandao,Zion Christian Church
Adventist movement (Sunday observing),0.0,0.06521825302213008,0.06904150326297795,0.06522182784471092,0.10337112141629515,0.055631407284619,0.13375132705175405,0.07138165005646241,0.05818097022906055,0.052357989629903595,0.11765246733513589,0.1281073932764083,0.062362928470151555,0.04973725045076907,0.04939814448245504,0.06761873044174437,0.07157954000557964,0.04479599998304027,0.08239591294347043,0.0372238078361013,0.06306264749842427,0.026964650864510966,0.09056978088768367,0.10919335971891594,0.04721258072338293,0.06777652272786219,0.11949959305962274,0.052494267936281425,0.04216074857762788,0.09642202555832664,0.044364468353835104,0.06560922615957288,0.054824136719716254,0.08272594232065295,0.036038715755018144,0.05730537564364239,0.03728213311061489,0.050270720908487374,0.07154062075702376,0.025559398791305317,0.11333288041473649,0.07824099355127119,0.0749247235033117,0.04565910631893061,0.09918156255017166,0.09069092913368476,0.03696158295139746,0.07092576270271367,0.05740348692567882,0.03203810876177463,0.04870387290287793,0.07808260568271225,0.07974105487624054,0.025565240300312826,0.03563885602663269,0.06772131431475131,0.07175716156576656,0.3861936063790321,0.12270351958707153,0.07503365741143175,0.08117287734613589,0.12851481140615867
African traditional religions Ethnic,0.06521825302213008,0.0,0.12875242827541056,0.0604070939537607,0.08315295805396293,0.0644498778658452,0.2002202575829774,0.056199377460025395,0.08128873373137989,0.03570125027040555,0.04443113783397394,0.11473935315064437,0.029520213108413938,0.08328434527685241,0.07007144853454418,0.08500810996342337,0.0689792332500936,0.0955382162439889,0.0889558028627948,0.03748994621927103,0.08568744141223639,0.08053080385821004,0.040104267801231754,0.0984180481171273,0.05004830602617883,0.05542622212175338,0.058658622653127296,0.07335940561924355,0.05808069041482554,0.10441836586406511,0.04983885874924512,0.05501942034625837,0.07597590068481196,0.05814284171092616,0.046573668390050935,0.07459458083142906,0.029473430255657913,0.06659462416896812,0.08039403907289168,0.06602782115540068,0.16386417792471938,0.1129008344448767,0.05467555373743687,0.05219666919310685,0.09809689706121712,0.030106771151709052,0.059457106168987375,0.07760052193077548,0.07271754446266859,0.06048507747611079,0.038851326235691125,0.06345756853527812,0.10673304944361887,0.034069093457799106,0.049180759860918716,0.040457702555784,0.03208926352657933,0.3932245910266225,0.06711583694718232,0.07358656934625064,0.038637445866879325,0.18522199103471915
Ahl-i Hadith,0.06904150326297795,0.12875242827541056,0.0,0.09567316935771937,0.11766399064267381,0.05660164977638438,0.14046483614226163,0.0818157961238394,0.04809471690625001,0.10150425859623795,0.18006736953741553,0.18480551092200573,0.10475449078904532,0.07376797541351698,0.06544874876992725,0.11129789804359641,0.0889134471651793,0.07077108589112248,0.10664857250686252,0.08985432033083635,0.0625622812006259,0.05468450499022538,0.15264974972322837,0.16264484419310588,0.061325283610871466,0.09216151988715308,0.12919362708734275,0.067178899862367,0.04428206355499842,0.07915935555498055,0.08273413798833673,0.09922959901110082,0.07374035156585515,0.10661573439185987,0.06420379520722709,0.10052913255896744,0.08023178297839399,0.05793884533193416,0.06416530169761624,0.049085246214319,0.12131324610528241,0.09657821521220308,0.09878250896960811,0.08196970129568684,0.12098611870410408,0.13532351654715993,0.07491933019910517,0.062250002433320496,0.08377812843055304,0.060273240996417066,0.09568594533466088,0.06576037433399441,0.06525237386024305,0.08272902849204701,0.045012455158102836,0.1121020037469542,0.10576519829432234,0.3594360885805274,0.12877919532886767,0.14460858187061817,0.13559779479367856,0.14369834961578284
Anglican,0.06522182784471092,0.0604070939537607,0.09567316935771937,0.0,0.07395134525861642,0.034300634721817415,0.16238835023142328,0.03214670025280618,0.06257072462740937,0.03512998201529163,0.07833495765194644,0.05281712184919661,0.06475228310561186,0.07676435305859791,0.04777200242313436,0.05373210036997402,0.05896958070539547,0.09130103255580829,0.052158281722387206,0.041248867957229624,0.05342468245847961,0.062091048636703054,0.06741604510171251,0.05108936319018213,0.043446518365819455,0.04365148839171216,0.08125031065030021,0.05660302170321298,0.03819816710248124,0.07548384027895877,0.04341988696695757,0.02573456396686792,0.05943386460277186,0.02841377409271226,0.029260776596932762,0.05726121765215101,0.054553842149045746,0.05825501961896402,0.06445462072076102,0.03474454308376987,0.12164783738033697,0.08309609224177823,0.013095785057913,0.039937673435374826,0.06258381049457844,0.09540271587561903,0.02834342907893996,0.06386129979105977,0.055099816488434594,0.04128104096437786,0.0794962335332929,0.05338824811390885,0.09242799067643387,0.050193590493575996,0.055880259476626844,0.042703355945439364,0.05182559932612564,0.4447819706871861,0.06502957326528352,0.10789801893378898,0.05826421503558817,0.1312065421808617
Armenian Apostolic Church,0.10337112141629515,0.08315295805396293,0.11766399064267381,0.07395134525861642,0.0,0.04674754074573532,0.10298157890022369,0.04624299225463058,0.06530078490523995,0.042280462132964214,0.11611231985384768,0.10123084078057681,0.040891798256056267,0.06492904788083487,0.06579224564258836,0.1096113523989603,0.030676593997367843,0.09577010522845485,0.06844911285378596,0.07256772248569757,0.057627083748476124,0.07802652961182768,0.11401164087402739,0.09744752724029021,0.06271350717816626,0.05891799255253597,0.09173373021580872,0.04283013433572904,0.05788954537081296,0.04602374721972139,0.04099155636070309,0.03940855706406716,0.07242880065882139,0.09010417969228914,0.0731657302537381,0.10635404147149496,0.05968014345630893,0.05019777999168466,0.05089157325429777,0.0872825769700663,0.082434269638613,0.05777300630974853,0.08507944695689203,0.05066831494183827,0.10589995087257083,0.09073535638105981,0.057077106862440906,0.054675324381010165,0.07564263303293269,0.07578744312174762,0.0971338539439731,0.05637284362036296,0.07697923768159591,0.05844051240593276,0.07344686294272303,0.07299102956804605,0.09527433070416441,0.47272668937379564,0.07977051187214303,0.12543248122305234,0.09719671224208859,0.09541827645539863
Baptist,0.055631407284619,0.0644498778658452,0.05660164977638438,0.034300634721817415,0.04674754074573532,0.0,0.11400407978374612,0.027878564716281203,0.038496817843848466,0.027914905678520008,0.10205662864255255,0.09143128714615117,0.04387407735918366,0.042852071696476486,0.04651709590980959,0.07021545132263673,0.02153414912092658,0.06291865763845886,0.053695251922722176,0.03315000719519919,0.04469346750574146,0.0465281518203726,0.08270255620867678,0.07347236184478316,0.029115643919267836,0.0339240948470343,0.07908824535068242,0.01912065496963925,0.012798699592425557,0.03717731405481419,0.020589933891235545,0.021336268155656965,0.04479366130864308,0.043625328449900934,0.017906682747220324,0.06548651179681099,0.03741296077930695,0.027535538206912392,0.04851776082063938,0.030458026633641708,0.09282755220670004,0.04559190725998233,0.042162744847177885,0.021053255391220747,0.0732935801400843,0.06750862465224435,0.01694679566968092,0.043117115110375755,0.06054977672400503,0.020586481926044186,0.044181247382349145,0.025618732854896128,0.06345091672894847,0.035634010143996066,0.029297838507464258,0.04750087960231681,0.04410161801664439,0.46896349487078903,0.05568919511178532,0.11585391170462175,0.07091030691034923,0.10167450281926577
Brotherhood of the Cross and Star,0.13375132705175405,0.2002202575829774,0.14046483614226163,0.16238835023142328,0.10298157890022369,0.11400407978374612,0.0,0.16082002851561505,0.11450243932611154,0.14092843854351084,0.28028521755063357,0.21310276496009933,0.15698062878627675,0.10871740120686134,0.13344157257107503,0.21334973374033553,0.10377123085667266,0.08380289189321598,0.16487215259839771,0.15894449806587405,0.13708829210746065,0.11575074397355362,0.25128785538712334,0.18715908609158186,0.12226910883067969,0.1360771411573116,0.22630243357790716,0.08550115729095634,0.11465907195920207,0.06701766983559966,0.11985317514063304,0.13563937565958378,0.1439397223024691,0.19224000072972805,0.13953806137860683,0.20487931086468325,0.1347015788416946,0.10452558711488709,0.13442144055630814,0.127366927431062,0.05888172621220819,0.04099830261419466,0.19375112180585022,0.11096395579101193,0.18881742561237408,0.21502261342615048,0.12899175833736864,0.14025359269319448,0.14469547359137058,0.13593623058257467,0.18614099025895287,0.14602164418554994,0.142170193744867,0.14495939131626975,0.1327674593105237,0.20415780965270225,0.17746932879805205,0.41268439495419346,0.21294457596863656,0.1966910689655202,0.243895266565086,0.012678957409558723
Buddhist,0.07138165005646241,0.056199377460025395,0.0818157961238394,0.03214670025280618,0.04624299225463058,0.027878564716281203,0.16082002851561505,0.0,0.03824194031864048,0.024983510891320147,0.0648624796234025,0.06750604990539967,0.03208476019512547,0.05332006880695767,0.033153152651480604,0.048281617710622546,0.040471394063293024,0.08108176141680198,0.026042553560381723,0.04134600367696158,0.02995338990520635,0.053327055578007175,0.05032838480594216,0.06937062577898234,0.03303828693261035,0.03684074445345316,0.046983350922756045,0.049741025977486114,0.032462411316829066,0.06329727153872917,0.041358812143623344,0.015447992895654163,0.03718782351645566,0.04147886618709366,0.04329187909656469,0.0619373353243441,0.0423017584856076,0.034712126084811896,0.030149111219002392,0.04242059629322819,0.12452044369850657,0.08669228881169716,0.033621612190192406,0.03783589214790634,0.04196428977679177,0.07849506189153244,0.025600528164659415,0.02400362368867073,0.03799107213044866,0.04546745983091936,0.06650728523179245,0.03734151114880975,0.0545009726601489,0.037621604536806304,0.04043278334241002,0.02290980466929236,0.0663333109846645,0.5010395404461975,0.04005801246008542,0.11115468694382313,0.04304635532165601,0.13576372439020565
Byzantine Rite,0.05818097022906055,0.08128873373137989,0.04809471690625001,0.06257072462740937,0.06530078490523995,0.038496817843848466,0.11450243932611154,0.03824194031864048,0.0,0.06694125009843549,0.11765417895261139,0.13539169200662593,0.05859884391238341,0.025828292544132467,0.028068518631781905,0.06004149621804987,0.061232826561410394,0.034127734633066655,0.047938597999581806,0.07844577987957152,0.013632541496146915,0.03244100900717062,0.09799438729548389,0.11853789672059419,0.015846198724661024,0.07064977291731887,0.07087238929501287,0.06442583593211493,0.04079065465270144,0.06363726380294162,0.06034688393956351,0.045953398829575096,0.03481198694118642,0.06344439647323158,0.05612242826282486,0.06356621588114933,0.0376712788365008,0.01918706522210155,0.01856677692300766,0.03244128340953945,0.12665735437485404,0.08220200955113542,0.06530841320653595,0.06332662990137347,0.04922816535621723,0.09599006404832698,0.05433954940180044,0.016502001722802657,0.038637664862276336,0.0629909602208967,0.07727209759177464,0.04722327574598302,0.026482720498919792,0.04881263713032586,0.0399945166409644,0.061268696699896555,0.0850522875582061,0.33168672882266614,0.08682827531348918,0.11041174438889453,0.08727438795448286,0.10883102338636243
Catholic,0.052357989629903595,0.03570125027040555,0.10150425859623795,0.03512998201529163,0.042280462132964214,0.027914905678520008,0.14092843854351084,0.024983510891320147,0.06694125009843549,0.0,0.06035193985115756,0.05398945507427846,0.01641734248612641,0.0664732820855099,0.0515154869252769,0.057774617643165466,0.022935038264566884,0.09157867896392954,0.0512536715305706,0.01314371217952174,0.060568467521869236,0.05767339961553608,0.04495584911321875,0.043898181775858774,0.047140401790843424,0.027688826709113216,0.06220571124129163,0.026618839711364334,0.0272514127952421,0.054671329059956864,0.01454707715763858,0.01918032199255672,0.055356532913535074,0.04697962054717998,0.026896780886374008,0.053329999522174695,0.03468610133498212,0.049362784618745034,0.0631723821692372,0.04542238268539163,0.09444497626997023,0.05853609404260137,0.03901975931906634,0.01468547433888461,0.07530156695624074,0.05164429353867351,0.017117857121214122,0.05733673134699516,0.05933709342022797,0.025721923170461163,0.04152640796095067,0.04762189278570324,0.0840894339385738,0.021705616743224115,0.03942463999469015,0.026957169405313043,0.041869479528925335,0.4985320520721223,0.05391538691054195,0.09123008594763965,0.035949726371964946,0.11819561533841011
